Region;Technology;Material;Scenario;Unit;2020;2030;2050
EU;Smartphones, tablets and laptops;W;LDS;t/yr;42,8035255;35,64197078;
EU;Smartphones, tablets and laptops;W;HDS;t/yr;42,8035255;51,72273711;
EU;Smartphones, tablets and laptops;Y;LDS;t/yr;0,139367971;0,116191359;
EU;Smartphones, tablets and laptops;Y;HDS;t/yr;0,139367971;0,162968213;
EU;Smartphones, tablets and laptops;Zn;LDS;t/yr;477,8677338;395,5921446;
EU;Smartphones, tablets and laptops;Zn;HDS;t/yr;477,8677338;557,7122749;
EU;Smartphones, tablets and laptops;Zr;LDS;t/yr;6,0475264;5,04502851;
EU;Smartphones, tablets and laptops;Zr;HDS;t/yr;6,0475264;7,3335392;
USA;Smartphones, tablets and laptops;Ag;LDS;t/yr;20,60603406;15,95158762;
USA;Smartphones, tablets and laptops;Ag;HDS;t/yr;20,60603406;21,27204504;
USA;Smartphones, tablets and laptops;Al;LDS;t/yr;12680,33497;9864,792135;
USA;Smartphones, tablets and laptops;Al;HDS;t/yr;12680,33497;13126,18337;
USA;Smartphones, tablets and laptops;As;LDS;t/yr;2,145486159;1,6947029;
USA;Smartphones, tablets and laptops;As;HDS;t/yr;2,145486159;2,281335233;
USA;Smartphones, tablets and laptops;Au;LDS;t/yr;8,821066682;6,864357803;
USA;Smartphones, tablets and laptops;Au;HDS;t/yr;8,821066682;9,343351422;
USA;Smartphones, tablets and laptops;B;LDS;t/yr;74,86556893;59,36839562;
USA;Smartphones, tablets and laptops;B;HDS;t/yr;74,86556893;77,90195675;
USA;Smartphones, tablets and laptops;Ba;LDS;t/yr;208,2366961;162,7443853;
USA;Smartphones, tablets and laptops;Ba;HDS;t/yr;208,2366961;220,2974091;
USA;Smartphones, tablets and laptops;Be;LDS;t/yr;0,169884277;0,131387004;
USA;Smartphones, tablets and laptops;Be;HDS;t/yr;0,169884277;0,173737832;
USA;Smartphones, tablets and laptops;Bi;LDS;t/yr;1,678067077;1,325581503;
USA;Smartphones, tablets and laptops;Bi;HDS;t/yr;1,678067077;1,750605342;
USA;Smartphones, tablets and laptops;Br;LDS;t/yr;538,5681558;427,0845437;
USA;Smartphones, tablets and laptops;Br;HDS;t/yr;538,5681558;560,4113317;
USA;Smartphones, tablets and laptops;Cd;LDS;t/yr;0,011023462;0,008741605;
USA;Smartphones, tablets and laptops;Cd;HDS;t/yr;0,011023462;0,01147055;
USA;Smartphones, tablets and laptops;Ce;LDS;t/yr;6,905504105;5,460595926;
USA;Smartphones, tablets and laptops;Ce;HDS;t/yr;6,905504105;7,296278879;
USA;Smartphones, tablets and laptops;Cl;LDS;t/yr;15,38766159;12,20241553;
USA;Smartphones, tablets and laptops;Cl;HDS;t/yr;15,38766159;16,01175233;
USA;Smartphones, tablets and laptops;Co;LDS;t/yr;475,1630646;327,8166046;
USA;Smartphones, tablets and laptops;Co;HDS;t/yr;475,1630646;450,601615;
USA;Smartphones, tablets and laptops;Cr;LDS;t/yr;562,6856256;441,721097;
USA;Smartphones, tablets and laptops;Cr;HDS;t/yr;562,6856256;614,0469026;
USA;Smartphones, tablets and laptops;Cu;LDS;t/yr;3812,126338;2881,90952;
USA;Smartphones, tablets and laptops;Cu;HDS;t/yr;3812,126338;3944,071067;
USA;Smartphones, tablets and laptops;Dy;LDS;t/yr;4,163723025;3,265184442;
USA;Smartphones, tablets and laptops;Dy;HDS;t/yr;4,163723025;4,499863533;
USA;Smartphones, tablets and laptops;Eu;LDS;t/yr;0,008970508;0,006170438;
USA;Smartphones, tablets and laptops;Eu;HDS;t/yr;0,008970508;0,008474579;
USA;Smartphones, tablets and laptops;Steel;LDS;t/yr;10249,60128;7905,089162;
USA;Smartphones, tablets and laptops;Steel;HDS;t/yr;10249,60128;10717,24489;
USA;Smartphones, tablets and laptops;Ga;LDS;t/yr;2,037262987;1,595719525;
USA;Smartphones, tablets and laptops;Ga;HDS;t/yr;2,037262987;2,235429741;
USA;Smartphones, tablets and laptops;Gd;LDS;t/yr;1,680971082;1,311721551;
USA;Smartphones, tablets and laptops;Gd;HDS;t/yr;1,680971082;1,879170529;
USA;Smartphones, tablets and laptops;Ge;LDS;t/yr;0,066233613;0,051271736;
USA;Smartphones, tablets and laptops;Ge;HDS;t/yr;0,066233613;0,073270143;
USA;Smartphones, tablets and laptops;Hf;LDS;t/yr;0,121344;0,094892269;
USA;Smartphones, tablets and laptops;Hf;HDS;t/yr;0,121344;0,136032;
USA;Smartphones, tablets and laptops;Hg;LDS;t/yr;0,019202997;0,015227977;
USA;Smartphones, tablets and laptops;Hg;HDS;t/yr;0,019202997;0,01998183;
USA;Smartphones, tablets and laptops;In;LDS;t/yr;3,186852045;2,475448371;
USA;Smartphones, tablets and laptops;In;HDS;t/yr;3,186852045;3,311051777;
USA;Smartphones, tablets and laptops;Li;LDS;t/yr;0,161792;0,126523026;
USA;Smartphones, tablets and laptops;Li;HDS;t/yr;0,161792;0,181376;
USA;Smartphones, tablets and laptops;Mg;LDS;t/yr;5742,947632;4407,811171;
USA;Smartphones, tablets and laptops;Mg;HDS;t/yr;5742,947632;5972,892499;
USA;Smartphones, tablets and laptops;Mn;LDS;t/yr;258,0504228;199,605473;
USA;Smartphones, tablets and laptops;Mn;HDS;t/yr;258,0504228;266,9142907;
USA;Smartphones, tablets and laptops;Mo;LDS;t/yr;6,779193398;5,291487991;
USA;Smartphones, tablets and laptops;Mo;HDS;t/yr;6,779193398;7,58121342;
USA;Smartphones, tablets and laptops;Nb;LDS;t/yr;0,810533541;0,632960655;
USA;Smartphones, tablets and laptops;Nb;HDS;t/yr;0,810533541;0,904034166;
USA;Smartphones, tablets and laptops;Nd;LDS;t/yr;74,48516648;58,56055078;
USA;Smartphones, tablets and laptops;Nd;HDS;t/yr;74,48516648;80,56686041;
USA;Smartphones, tablets and laptops;Ni;LDS;t/yr;565,0270507;439,8332605;
USA;Smartphones, tablets and laptops;Ni;HDS;t/yr;565,0270507;613,7626134;
USA;Smartphones, tablets and laptops;Pb;LDS;t/yr;57,68128647;45,71895787;
USA;Smartphones, tablets and laptops;Pb;HDS;t/yr;57,68128647;60,15779751;
USA;Smartphones, tablets and laptops;Pd;LDS;t/yr;1,491758211;1,167722413;
USA;Smartphones, tablets and laptops;Pd;HDS;t/yr;1,491758211;1,569483014;
USA;Smartphones, tablets and laptops;Pr;LDS;t/yr;22,24094083;17,03435804;
USA;Smartphones, tablets and laptops;Pr;HDS;t/yr;22,24094083;23,67341783;
USA;Smartphones, tablets and laptops;Pt;LDS;t/yr;0,102222346;0,079951052;
USA;Smartphones, tablets and laptops;Pt;HDS;t/yr;0,102222346;0,114507055;
USA;Smartphones, tablets and laptops;Sb;LDS;t/yr;12,5615724;9,96043781;
USA;Smartphones, tablets and laptops;Sb;HDS;t/yr;12,5615724;13,07755402;
USA;Smartphones, tablets and laptops;Si;LDS;t/yr;2195,365759;1712,162577;
USA;Smartphones, tablets and laptops;Si;HDS;t/yr;2195,365759;2413,217566;
USA;Smartphones, tablets and laptops;Sn;LDS;t/yr;247,6542899;192,7616454;
USA;Smartphones, tablets and laptops;Sn;HDS;t/yr;247,6542899;264,7785762;
USA;Smartphones, tablets and laptops;Sr;LDS;t/yr;147,3447437;114,685938;
USA;Smartphones, tablets and laptops;Sr;HDS;t/yr;147,3447437;158,8027369;
USA;Smartphones, tablets and laptops;Ta;LDS;t/yr;27,1304412;21,41820469;
USA;Smartphones, tablets and laptops;Ta;HDS;t/yr;27,1304412;28,80565877;
USA;Smartphones, tablets and laptops;Ti;LDS;t/yr;97,42166295;77,02934609;
USA;Smartphones, tablets and laptops;Ti;HDS;t/yr;97,42166295;103,0283074;
USA;Smartphones, tablets and laptops;V;LDS;t/yr;2,32458361;1,81449159;
USA;Smartphones, tablets and laptops;V;HDS;t/yr;2,32458361;2,59385587;
USA;Smartphones, tablets and laptops;W;LDS;t/yr;48,85469022;38,16354504;
USA;Smartphones, tablets and laptops;W;HDS;t/yr;48,85469022;54,62685473;
USA;Smartphones, tablets and laptops;Y;LDS;t/yr;0,093448985;0,072053751;
USA;Smartphones, tablets and laptops;Y;HDS;t/yr;0,093448985;0,095369214;
USA;Smartphones, tablets and laptops;Zn;LDS;t/yr;368,9121234;284,3480623;
USA;Smartphones, tablets and laptops;Zn;HDS;t/yr;368,9121234;385,967622;
USA;Smartphones, tablets and laptops;Zr;LDS;t/yr;6,997504;5,47212087;
USA;Smartphones, tablets and laptops;Zr;HDS;t/yr;6,997504;7,844512;
China;Smartphones, tablets and laptops;Ag;LDS;t/yr;24,74589317;18,43019216;
China;Smartphones, tablets and laptops;Ag;HDS;t/yr;24,74589317;27,06784643;
China;Smartphones, tablets and laptops;Al;LDS;t/yr;15180,23545;11319,54307;
China;Smartphones, tablets and laptops;Al;HDS;t/yr;15180,23545;16681,81038;
China;Smartphones, tablets and laptops;As;LDS;t/yr;3,427620216;2,576296268;
China;Smartphones, tablets and laptops;As;HDS;t/yr;3,427620216;3,691306031;
China;Smartphones, tablets and laptops;Au;LDS;t/yr;15,05084081;11,29067637;
China;Smartphones, tablets and laptops;Au;HDS;t/yr;15,05084081;15,95281338;
China;Smartphones, tablets and laptops;B;LDS;t/yr;79,37541161;59,36839562;
China;Smartphones, tablets and laptops;B;HDS;t/yr;79,37541161;90,21947209;
China;Smartphones, tablets and laptops;Ba;LDS;t/yr;337,8567456;253,4744419;
China;Smartphones, tablets and laptops;Ba;HDS;t/yr;337,8567456;360,7368617;
China;Smartphones, tablets and laptops;Be;LDS;t/yr;0,171185913;0,126939065;
China;Smartphones, tablets and laptops;Be;HDS;t/yr;0,171185913;0,191210384;
China;Smartphones, tablets and laptops;Bi;LDS;t/yr;1,960537237;1,467153588;
China;Smartphones, tablets and laptops;Bi;HDS;t/yr;1,960537237;2,190230818;
China;Smartphones, tablets and laptops;Br;LDS;t/yr;571,0110757;427,0845437;
China;Smartphones, tablets and laptops;Br;HDS;t/yr;571,0110757;649,0211108;
China;Smartphones, tablets and laptops;Cd;LDS;t/yr;0,011687506;0,008741605;
China;Smartphones, tablets and laptops;Cd;HDS;t/yr;0,011687506;0,013284223;
China;Smartphones, tablets and laptops;Ce;LDS;t/yr;9,940978112;7,463894202;
China;Smartphones, tablets and laptops;Ce;HDS;t/yr;9,940978112;10,83377896;
China;Smartphones, tablets and laptops;Cl;LDS;t/yr;16,31460216;12,20241553;
China;Smartphones, tablets and laptops;Cl;HDS;t/yr;16,31460216;18,54346031;
China;Smartphones, tablets and laptops;Co;LDS;t/yr;389,9576999;275,7347262;
China;Smartphones, tablets and laptops;Co;HDS;t/yr;389,9576999;390,8238701;
China;Smartphones, tablets and laptops;Cr;LDS;t/yr;1280,295376;964,9199698;
China;Smartphones, tablets and laptops;Cr;HDS;t/yr;1280,295376;1333,095732;
China;Smartphones, tablets and laptops;Cu;LDS;t/yr;5922,609929;4411,861013;
China;Smartphones, tablets and laptops;Cu;HDS;t/yr;5922,609929;6207,51305;
China;Smartphones, tablets and laptops;Dy;LDS;t/yr;8,594950356;6,470641491;
China;Smartphones, tablets and laptops;Dy;HDS;t/yr;8,594950356;9,009095521;
China;Smartphones, tablets and laptops;Eu;LDS;t/yr;0,006981937;0,004911086;
China;Smartphones, tablets and laptops;Eu;HDS;t/yr;0,006981937;0,006983762;
China;Smartphones, tablets and laptops;Steel;LDS;t/yr;15708,08929;11744,16303;
China;Smartphones, tablets and laptops;Steel;HDS;t/yr;15708,08929;16710,04805;
China;Smartphones, tablets and laptops;Ga;LDS;t/yr;4,955688362;3,736115904;
China;Smartphones, tablets and laptops;Ga;HDS;t/yr;4,955688362;5,131254607;
China;Smartphones, tablets and laptops;Gd;LDS;t/yr;4,91117;3,706607017;
China;Smartphones, tablets and laptops;Gd;HDS;t/yr;4,91117;5,022205274;
China;Smartphones, tablets and laptops;Ge;LDS;t/yr;0,183944722;0,138650289;
China;Smartphones, tablets and laptops;Ge;HDS;t/yr;0,183944722;0,188025853;
China;Smartphones, tablets and laptops;Hf;LDS;t/yr;0,359232;0,271210943;
China;Smartphones, tablets and laptops;Hf;HDS;t/yr;0,359232;0,367392;
China;Smartphones, tablets and laptops;Hg;LDS;t/yr;0,020359771;0,015227977;
China;Smartphones, tablets and laptops;Hg;HDS;t/yr;0,020359771;0,023141269;
China;Smartphones, tablets and laptops;In;LDS;t/yr;4,137723901;3,089097153;
China;Smartphones, tablets and laptops;In;HDS;t/yr;4,137723901;4,499108077;
China;Smartphones, tablets and laptops;Li;LDS;t/yr;0,478976;0,361614591;
China;Smartphones, tablets and laptops;Li;HDS;t/yr;0,478976;0,489856;
China;Smartphones, tablets and laptops;Mg;LDS;t/yr;8477,349221;6327,541979;
China;Smartphones, tablets and laptops;Mg;HDS;t/yr;8477,349221;9017,827066;
China;Smartphones, tablets and laptops;Mn;LDS;t/yr;323,6849588;241,2452166;
China;Smartphones, tablets and laptops;Mn;HDS;t/yr;323,6849588;352,0866268;
China;Smartphones, tablets and laptops;Mo;LDS;t/yr;19,83969653;14,97423592;
China;Smartphones, tablets and laptops;Mo;HDS;t/yr;19,83969653;20,28851794;
China;Smartphones, tablets and laptops;Nb;LDS;t/yr;2,316077695;1,747847306;
China;Smartphones, tablets and laptops;Nb;HDS;t/yr;2,316077695;2,371991599;
China;Smartphones, tablets and laptops;Nd;LDS;t/yr;152,7119172;115,0040687;
China;Smartphones, tablets and laptops;Nd;HDS;t/yr;152,7119172;160,3729079;
China;Smartphones, tablets and laptops;Ni;LDS;t/yr;1287,506993;969,2660971;
China;Smartphones, tablets and laptops;Ni;HDS;t/yr;1287,506993;1335,016833;
China;Smartphones, tablets and laptops;Pb;LDS;t/yr;64,45236945;48,2419354;
China;Smartphones, tablets and laptops;Pb;HDS;t/yr;64,45236945;72,6679833;
China;Smartphones, tablets and laptops;Pd;LDS;t/yr;2,204188531;1,651985595;
China;Smartphones, tablets and laptops;Pd;HDS;t/yr;2,204188531;2,377815401;
China;Smartphones, tablets and laptops;Pr;LDS;t/yr;44,98817015;33,74145403;
China;Smartphones, tablets and laptops;Pr;HDS;t/yr;44,98817015;46,63506923;
China;Smartphones, tablets and laptops;Pt;LDS;t/yr;0,300528751;0,22688328;
China;Smartphones, tablets and laptops;Pt;HDS;t/yr;0,300528751;0,307488422;
China;Smartphones, tablets and laptops;Sb;LDS;t/yr;13,47199048;10,07798359;
China;Smartphones, tablets and laptops;Sb;HDS;t/yr;13,47199048;15,28522025;
China;Smartphones, tablets and laptops;Si;LDS;t/yr;5555,964593;4187,925617;
China;Smartphones, tablets and laptops;Si;HDS;t/yr;5555,964593;5727,358681;
China;Smartphones, tablets and laptops;Sn;LDS;t/yr;474,3150227;356,369358;
China;Smartphones, tablets and laptops;Sn;HDS;t/yr;474,3150227;498,0245839;
China;Smartphones, tablets and laptops;Sr;LDS;t/yr;309,2676256;232,6145715;
China;Smartphones, tablets and laptops;Sr;HDS;t/yr;309,2676256;322,4977248;
China;Smartphones, tablets and laptops;Ta;LDS;t/yr;42,63400806;32,03502922;
China;Smartphones, tablets and laptops;Ta;HDS;t/yr;42,63400806;45,97394797;
China;Smartphones, tablets and laptops;Ti;LDS;t/yr;142,3732944;106,9153613;
China;Smartphones, tablets and laptops;Ti;HDS;t/yr;142,3732944;154,8884724;
China;Smartphones, tablets and laptops;V;LDS;t/yr;6,679938088;5,041051777;
China;Smartphones, tablets and laptops;V;HDS;t/yr;6,679938088;6,83788547;
China;Smartphones, tablets and laptops;W;LDS;t/yr;142,3087759;107,4141646;
China;Smartphones, tablets and laptops;W;HDS;t/yr;142,3087759;145,6088621;
China;Smartphones, tablets and laptops;Y;LDS;t/yr;0,093578119;0,069314811;
China;Smartphones, tablets and laptops;Y;HDS;t/yr;0,093578119;0,104291966;
China;Smartphones, tablets and laptops;Zn;LDS;t/yr;573,137442;428,5543237;
China;Smartphones, tablets and laptops;Zn;HDS;t/yr;573,137442;608,6885644;
China;Smartphones, tablets and laptops;Zr;LDS;t/yr;20,715712;15,63983105;
China;Smartphones, tablets and laptops;Zr;HDS;t/yr;20,715712;21,186272;
World;Smartphones, tablets and laptops;Ag;LDS;t/yr;161,9869505;135,032754;
World;Smartphones, tablets and laptops;Ag;HDS;t/yr;161,9869505;190,6732476;
World;Smartphones, tablets and laptops;Al;LDS;t/yr;100537,3791;84392,86638;
World;Smartphones, tablets and laptops;Al;HDS;t/yr;100537,3791;119307,3577;
World;Smartphones, tablets and laptops;As;LDS;t/yr;18,98974376;16,07196304;
World;Smartphones, tablets and laptops;As;HDS;t/yr;18,98974376;23,01024756;
World;Smartphones, tablets and laptops;Au;LDS;t/yr;77,74112521;64,39960317;
World;Smartphones, tablets and laptops;Au;HDS;t/yr;77,74112521;92,14776972;
World;Smartphones, tablets and laptops;B;LDS;t/yr;597,5559782;516,8043429;
World;Smartphones, tablets and laptops;B;HDS;t/yr;597,5559782;731,569656;
World;Smartphones, tablets and laptops;Ba;LDS;t/yr;1818,525457;1517,869492;
World;Smartphones, tablets and laptops;Ba;HDS;t/yr;1818,525457;2169,804022;
World;Smartphones, tablets and laptops;Be;LDS;t/yr;1,276323407;1,068581858;
World;Smartphones, tablets and laptops;Be;HDS;t/yr;1,276323407;1,500400585;
World;Smartphones, tablets and laptops;Bi;LDS;t/yr;13,60872741;11,66860021;
World;Smartphones, tablets and laptops;Bi;HDS;t/yr;13,60872741;16,54611999;
World;Smartphones, tablets and laptops;Br;LDS;t/yr;4298,7;3717,788642;
World;Smartphones, tablets and laptops;Br;HDS;t/yr;4298,7;5262,768;
World;Smartphones, tablets and laptops;Cd;LDS;t/yr;0,087986181;0,076096034;
World;Smartphones, tablets and laptops;Cd;HDS;t/yr;0,087986181;0,107718812;
World;Smartphones, tablets and laptops;Ce;LDS;t/yr;59,34929191;50,52663929;
World;Smartphones, tablets and laptops;Ce;HDS;t/yr;59,34929191;72,1120091;
World;Smartphones, tablets and laptops;Cl;LDS;t/yr;122,82;106,2225326;
World;Smartphones, tablets and laptops;Cl;HDS;t/yr;122,82;150,3648;
World;Smartphones, tablets and laptops;Co;LDS;t/yr;2651,686508;1770,568094;
World;Smartphones, tablets and laptops;Co;HDS;t/yr;2651,686508;2330,5237;
World;Smartphones, tablets and laptops;Cr;LDS;t/yr;5586,968449;4617,466055;
World;Smartphones, tablets and laptops;Cr;HDS;t/yr;5586,968449;6688,510074;
World;Smartphones, tablets and laptops;Cu;LDS;t/yr;30960,23711;24740,4351;
World;Smartphones, tablets and laptops;Cu;HDS;t/yr;30960,23711;35050,73022;
World;Smartphones, tablets and laptops;Dy;LDS;t/yr;39,75612444;32,96876924;
World;Smartphones, tablets and laptops;Dy;HDS;t/yr;39,75612444;47,57209306;
World;Smartphones, tablets and laptops;Eu;LDS;t/yr;0,04905;0,032437306;
World;Smartphones, tablets and laptops;Eu;HDS;t/yr;0,04905;0,04245;
World;Smartphones, tablets and laptops;Steel;LDS;t/yr;85885,8788;70615,28805;
World;Smartphones, tablets and laptops;Steel;HDS;t/yr;85885,8788;100459,9282;
World;Smartphones, tablets and laptops;Ga;LDS;t/yr;20,71300804;17,02026331;
World;Smartphones, tablets and laptops;Ga;HDS;t/yr;20,71300804;24,71111475;
World;Smartphones, tablets and laptops;Gd;LDS;t/yr;18,417308;14,93843979;
World;Smartphones, tablets and laptops;Gd;HDS;t/yr;18,417308;21,84054327;
World;Smartphones, tablets and laptops;Ge;LDS;t/yr;0,701184821;0,56508174;
World;Smartphones, tablets and laptops;Ge;HDS;t/yr;0,701184821;0,823695276;
World;Smartphones, tablets and laptops;Hf;LDS;t/yr;1,341548752;1,089941954;
World;Smartphones, tablets and laptops;Hf;HDS;t/yr;1,341548752;1,594753513;
World;Smartphones, tablets and laptops;Hg;LDS;t/yr;0,153272939;0,132560167;
World;Smartphones, tablets and laptops;Hg;HDS;t/yr;0,153272939;0,187647409;
World;Smartphones, tablets and laptops;In;LDS;t/yr;25,75198384;21,50897134;
World;Smartphones, tablets and laptops;In;HDS;t/yr;25,75198384;30,47481548;
World;Smartphones, tablets and laptops;Li;LDS;t/yr;1,78873167;1,453255939;
World;Smartphones, tablets and laptops;Li;HDS;t/yr;1,78873167;2,126338017;
World;Smartphones, tablets and laptops;Mg;LDS;t/yr;47148,28343;38560,21946;
World;Smartphones, tablets and laptops;Mg;HDS;t/yr;47148,28343;54720,74005;
World;Smartphones, tablets and laptops;Mn;LDS;t/yr;2049,390761;1703,95469;
World;Smartphones, tablets and laptops;Mn;HDS;t/yr;2049,390761;2408,986194;
World;Smartphones, tablets and laptops;Mo;LDS;t/yr;74,36080766;60,3274755;
World;Smartphones, tablets and laptops;Mo;HDS;t/yr;74,36080766;88,20961518;
World;Smartphones, tablets and laptops;Nb;LDS;t/yr;8,799679375;7,1509388;
World;Smartphones, tablets and laptops;Nb;HDS;t/yr;8,799679375;10,44617658;
World;Smartphones, tablets and laptops;Nd;LDS;t/yr;712,2749249;592,6384999;
World;Smartphones, tablets and laptops;Nd;HDS;t/yr;712,2749249;855,2650345;
World;Smartphones, tablets and laptops;Ni;LDS;t/yr;5541,668326;4535,103476;
World;Smartphones, tablets and laptops;Ni;HDS;t/yr;5541,668326;6561,736593;
World;Smartphones, tablets and laptops;Pb;LDS;t/yr;465,6661795;401,6960823;
World;Smartphones, tablets and laptops;Pb;HDS;t/yr;465,6661795;569,3583016;
World;Smartphones, tablets and laptops;Pd;LDS;t/yr;12,68959363;10,65419109;
World;Smartphones, tablets and laptops;Pd;HDS;t/yr;12,68959363;15,18651786;
World;Smartphones, tablets and laptops;Pr;LDS;t/yr;202,9231144;163,594892;
World;Smartphones, tablets and laptops;Pr;HDS;t/yr;202,9231144;234,9457794;
World;Smartphones, tablets and laptops;Pt;LDS;t/yr;1,126755912;0,915894566;
World;Smartphones, tablets and laptops;Pt;HDS;t/yr;1,126755912;1,339733142;
World;Smartphones, tablets and laptops;Sb;LDS;t/yr;100,5116252;86,88195758;
World;Smartphones, tablets and laptops;Sb;HDS;t/yr;100,5116252;123,0215575;
World;Smartphones, tablets and laptops;Si;LDS;t/yr;22550,92756;18405,66937;
World;Smartphones, tablets and laptops;Si;HDS;t/yr;22550,92756;26750,11741;
World;Smartphones, tablets and laptops;Sn;LDS;t/yr;2272,927248;1874,210252;
World;Smartphones, tablets and laptops;Sn;HDS;t/yr;2272,927248;2693,425149;
World;Smartphones, tablets and laptops;Sr;LDS;t/yr;1399,114517;1149,073133;
World;Smartphones, tablets and laptops;Sr;HDS;t/yr;1399,114517;1657,163168;
World;Smartphones, tablets and laptops;Ta;LDS;t/yr;238,6755511;202,0124204;
World;Smartphones, tablets and laptops;Ta;HDS;t/yr;238,6755511;289,0330603;
World;Smartphones, tablets and laptops;Ti;LDS;t/yr;840,8184332;715,274837;
World;Smartphones, tablets and laptops;Ti;HDS;t/yr;840,8184332;1021,309464;
World;Smartphones, tablets and laptops;V;LDS;t/yr;25,286262;20,53290131;
World;Smartphones, tablets and laptops;V;HDS;t/yr;25,286262;30,00022526;
World;Smartphones, tablets and laptops;W;LDS;t/yr;535,3121506;434,7557184;
World;Smartphones, tablets and laptops;W;HDS;t/yr;535,3121506;635,6202243;
World;Smartphones, tablets and laptops;Y;LDS;t/yr;0,696839857;0,580956793;
World;Smartphones, tablets and laptops;Y;HDS;t/yr;0,696839857;0,814841064;
World;Smartphones, tablets and laptops;Zn;LDS;t/yr;3101,25324;2546,407198;
World;Smartphones, tablets and laptops;Zn;HDS;t/yr;3101,25324;3623,920924;
World;Smartphones, tablets and laptops;Zr;LDS;t/yr;77,36264472;62,85331937;
World;Smartphones, tablets and laptops;Zr;HDS;t/yr;77,36264472;91,96411923;
